,do_nothing,action_TFC_finish,action_TNC_finish
"(4, 4)",216.14526589206946,274.13812071571255,215.10869045536668
"(4, 3)",232.00366649416466,235.26193269259912,269.67541380129484
"(4, 2)",284.6598308475679,215.18057214793114,224.934279102752
"(4, 1)",334.01398230748157,265.6179291985874,190.09043579153627
"(4, 0)",270.2974207394951,306.1233408882875,295.2411902163182
terminal,0.0,0.0,0.0
"(3, 2)",229.0173058535063,67.01058210935076,266.8231107544865
"(3, 1)",254.67574139496088,211.9618191004858,192.610539871352
"(3, 0)",234.03714928525483,206.65057160263953,168.48724744255506
"(2, 2)",57.099065817624,-70.22093323234711,-29.40836269011027
"(2, 1)",18.161215035070768,110.80663876790067,0.0
"(2, 0)",123.02800842715702,84.2349356020718,29.61601890041373
"(3, 3)",-5.0466188176907565,-37.1875,-40.0
"(2, 3)",13.889031176769265,-62.5,0.0
"(1, 3)",-62.5,-87.5,-62.5
"(0, 3)",-87.5,-87.5,-87.5
"(0, 0)",-14.930508273504074,-87.5,-131.25
"(1, 1)",-25.0,3.5096373966243846,-56.25
"(1, 0)",-48.75,-37.5,77.8105922616407
"(1, 2)",-37.5,0.0,0.0
