,action_TFC_finish,action_TNC_finish
"(4, 4)",3.8351164537112186,2.7247235709185844
"(3, 4)",0.7372001850647667,2.0142620201149626
"(2, 4)",0.9668574729477624,0.3315625
"(2, 3)",0.36875,0.8653169008789063
"(1, 3)",0.35958354077148436,0.121875
"(1, 2)",0.31170136718749997,0.0
"(0, 2)",0.7187833762207032,0.9884493593308527
"(0, 1)",0.0,1.6906618350154246
"(0, 0)",1.0080473434882553,0.0
terminal,0.0,0.0
"(1, 4)",0.164921875,0.4555697761743165
"(0, 3)",0.1455536336846924,1.2755821805089884
"(2, 2)",0.43125,0.0
"(2, 0)",0.0,0.41875
"(1, 1)",0.0,1.7964812959387209
"(0, 4)",0.40264511463827835,0.0
"(2, 1)",0.0,0.4665625
"(1, 0)",1.9829551489943376,0.0
