,action_TFC_finish,action_TNC_finish,action_noise
"(4, 4)",17.812127246007286,3.223901370460177,-1.0172553382772356
"(4, 3)",5.819310426356097,-6.88178950833586,-7.102132798697449
"(3, 2)",6.500256508318738,-0.15533499002254336,-0.7212611702513045
"(3, 0)",0.004034044042551305,0.004024212120300785,0.03141080820748711
terminal,0.0,0.0,0.0
"(4, 2)",3.6790935832576643,6.47764292028988,-1.8504414873156845
"(4, 1)",7.949746145713703,-0.038445419723123965,-0.7741723750965147
"(4, 0)",-0.2319128477904008,-0.7777840451129101,0.025923761588295232
"(3, 1)",3.863156532792404,-0.48710622024948047,-0.25557344409850447
"(3, 3)",0.3324078404854857,-0.009884044491179925,-0.31710606247182216
"(2, 2)",-0.0683598077474793,-0.3477180053074045,-0.28338519406741924
"(2, 0)",0.010631072107172118,0.0,0.0
"(2, 3)",-0.10939594851724102,-0.15830300000000003,-0.1
"(3, 4)",0.010019,0.0,0.0
"(2, 1)",0.62723534462859,-0.06,0.00019899999999999952
"(1, 1)",0.0,0.0,-0.0568857092964999
